com.samsung.health.sleep_stage,6195017,6,,,,,,,,
06:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,07:00.0,c40585ce-7259-4d86-8cd1-c99f28d7d92e
07:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,08:00.0,7fd25557-2b16-488a-ac27-6f00ef4a4334
08:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,15:00.0,017aed1e-ab2f-4598-b4d5-09d5fe2f58d5
15:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,16:00.0,1ab18227-a8bc-49b5-93ba-22c1bec39088
16:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,21:00.0,0f13df02-3e38-4f13-a394-1701e3f6b7a9
21:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,24:00.0,1e00da36-3ba2-4b79-b163-0754a11a25b8
24:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,30:00.0,628107e3-7f7b-4325-a95e-a4d72f92f221
30:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,31:00.0,3f55dec6-4d56-4229-8d59-1f7fde8248c3
31:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,33:00.0,65c8c471-39cf-4aa5-a563-42534a09001d
33:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,39:00.0,c7505ffe-30f0-491e-9d01-3e6bf41e5a2d
39:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,43:00.0,8f429cc3-1053-4a75-a4b0-339b93f59fd4
43:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,22:00.0,872f2db9-2718-48b3-a818-4e70ff1b6846
22:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,30:00.0,46e249f9-e77a-4652-8c0e-23b7c49b65dc
30:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,31:00.0,8c9c385d-70fe-4f34-be19-3c1be43a0793
31:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,50:00.0,16b5b29f-c911-4cf7-91a1-dc6711e2c3e5
50:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,51:00.0,609d7746-33d1-4f03-bb02-0d438fa765ae
51:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,14:00.0,784b5b50-e985-400e-bf1c-4040b03d62e6
14:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,15:00.0,95398565-ba3d-44ff-8276-6768d4974fe3
15:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,35:00.0,60db14ac-80a7-47d0-9de0-b71716b35350
35:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,36:00.0,083693c4-4ae1-4a45-82b5-167ac263a616
36:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,44:00.0,ff26c4af-8823-4f5d-8520-89144d9a0567
44:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,46:00.0,67a1eeee-a9ea-4896-8b50-021aa6084e91
46:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,47:00.0,05b75b01-d4ba-4b95-a3de-a01ff9216e80
47:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,58:00.0,f491874d-a4cc-4d3c-bd4a-2ccf76d76b3d
58:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,59:00.0,95ba2775-0a69-4142-8624-af9ebc2690b4
59:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,33:00.0,ddc7236e-094c-4590-8bd3-e6bf31011bec
33:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,35:00.0,edcd947a-3b19-4b37-bd88-c3703cc99809
35:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,10:00.0,fdbdbd47-34f2-470e-84db-d87f7652ff5b
10:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.6,48:51.6,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,18:00.0,36aef3b2-7b17-4bc9-bbad-63283f654925
18:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.7,48:51.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,21:00.0,d6127da7-4a13-4892-a602-0ade09720d6d
21:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.7,48:51.7,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,44:00.0,d9c2403d-e333-4173-97bc-715645d44466
44:00.0,e92477cd-4ac4-440c-99e6-5a11e237ca2a,,48:51.7,48:51.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,48:00.0,d06c5ed9-8f8a-40a1-a140-524aec6bef95
29:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,46:00.0,0d4e4043-8875-45c7-935a-531d69c48fb7
46:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,49:00.0,1db5b044-b050-4020-8ae8-b1b77660ee2e
49:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,56:00.0,20de463b-1749-49fd-ab61-044e5142321c
56:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,57:00.0,e5881061-dc56-4a46-b3e3-72c3efa5c0ab
57:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,27:00.0,6fbf185d-5715-43a7-be91-163a25b99228
27:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,37:00.0,8e504dba-a9e4-4342-a612-76749d268830
37:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,51:00.0,9f59391e-03fb-48f3-bbd4-d2322ced1c7f
51:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,52:00.0,170a1d4b-be5b-44ee-a344-082e3bc9b83d
52:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,53:00.0,f583c6a6-0315-4f60-9baa-f098bf237594
53:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,54:00.0,fbc2c1ac-28fd-4d72-9dcf-543a8c8679b1
54:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,07:00.0,18a285f7-b056-4062-a86e-e77e566ad88c
07:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,09:00.0,9dc59446-2fe8-47da-a491-3b3b44bd1514
09:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,22:00.0,66369865-246e-42d3-a3a7-c9c669cd27f5
22:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,25:00.0,8d501d40-0cb9-49de-8cf5-81d4d87db255
25:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,26:00.0,32ff9d26-c8d2-4312-a425-2f74eb10b755
26:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,41:00.0,2a491a7c-b499-4a8f-8440-1f9d79f91faf
41:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,42:00.0,298a1fa2-b030-44ed-9912-f34a6261973f
42:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,00:00.0,36e31c7b-3ff9-41fd-acf6-602658000e30
00:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,01:00.0,f9a029bd-cb93-4d10-ae95-7ae7f7e3eb40
01:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,05:00.0,9ee8ab15-0469-4c4e-ad61-b553a0c1ed6a
05:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,06:00.0,90e5ef6e-0a3b-42c3-9977-0b9bc31723c2
06:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,12:00.0,7b97da18-b00d-437c-a53e-26535bc6f49c
12:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,13:00.0,616fede8-0343-4d5b-9505-ca8002842ddd
13:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,16:00.0,fd444428-8aa9-4f32-8f40-23dbbaea1976
16:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,18:00.0,136dc632-355b-4dfc-9d6e-2c416fd007f5
18:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,26:00.0,753d2841-5271-4259-90c6-acbcb93cdcaa
26:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,38:00.0,534f7518-ee3c-4fe3-ad3b-46596145e85b
38:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,41:00.0,8576c1ff-52cd-41c3-bf62-d88f2ca938e0
41:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,43:00.0,ab88eddb-d166-4f09-a90b-03962cebca11
43:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,44:00.0,ac29967b-1c9f-4c92-8b33-cbac224a5c39
44:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,45:00.0,6d3a328d-e0d3-48f5-adb7-3f800e116690
45:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,28:00.0,2bafae39-bc6c-4f3f-b4a5-21b664838e04
28:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,29:00.0,4315e7aa-1872-4c10-9634-b6d657e0d17b
29:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,18:00.0,3829ed1f-a948-478f-996e-4344d938c129
18:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,19:00.0,13cad63a-ef07-41fb-b82c-84ad0c7f7abb
19:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,20:00.0,1ba45e57-efe9-4de3-b1d5-130aaa83194c
20:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,22:00.0,7d1fe42f-d099-4574-a12b-d50b7f22f446
22:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,36:00.0,c253571c-7bc3-471b-bfd7-4706f4c6fd1c
36:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,37:00.0,79f40428-490b-440b-8aa1-2d1549faa2ec
37:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,43:00.0,2b8ac653-ee08-48d8-aa08-8db5f4032aea
43:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,44:00.0,2465a126-80e7-4110-8708-2d6eb15698f6
44:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,47:00.0,bd47fd7e-f584-4fac-8c1a-6cf96b4cba7b
47:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,48:00.0,6b24368f-ba5c-4c75-8b78-6b962f018dd4
48:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,49:00.0,88ab10d9-2196-457a-a1b6-6a51dd01cc58
49:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,26:00.0,6a4fc840-54da-47c9-8132-3a81bccf7d8a
26:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,27:00.0,a1dc7eaa-6608-4f9a-8d0e-325feeb95d31
27:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,31:00.0,fa4ebf8f-ff0c-46da-b0be-605c1cfa87bd
31:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,33:00.0,671f74be-fdd3-4f8d-81ab-e9487a0e0f02
33:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,41:00.0,2c0dffca-c4a2-4ad9-9420-1a3607b9ca85
41:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,42:00.0,90774544-57b0-4cd4-b0a7-8dc7c12130b3
42:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,43:00.0,d06bb530-1088-4b36-828c-c6046516dacf
43:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,46:00.0,ba249398-e6f0-4c87-b134-01319c544621
46:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,46:00.0,8d1eabaf-316b-4700-acf5-a2e7def02890
46:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,47:00.0,c8eab8b9-4217-4f13-af5b-1947957718fc
47:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,49:00.0,0269625f-d94c-4d65-a2ce-659d8c35403e
49:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,04:00.0,0df253fb-8161-43da-a3c1-d91a8bdb188c
04:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,05:00.0,6c2d4844-c11c-438c-84cf-d9328a830a81
05:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,41:00.0,b801fc75-fa08-4f4d-85ff-798052c9c7b1
41:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,44:00.0,02ef7dda-47d8-4384-8c9b-01ba6c02b668
44:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,57:00.0,c9cea888-88cf-496e-a56e-fba09f5f9178
57:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,58:00.0,7e94c834-e3f6-4036-8a17-3ac9de6ac435
58:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,22:00.0,3b5e72f3-3abf-437e-9cf9-1b9eb09f4b7d
22:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,23:00.0,7b8b1933-660c-4adc-8ab7-f996433d973a
23:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,27:00.0,9589ed86-5fe6-4ea7-bcc5-85660c2dcb22
27:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,28:00.0,ffda3a40-ed6b-43dc-9a43-023d1a3839d8
28:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,39:00.0,7f56143d-de06-43c4-b500-8504b80b83ff
39:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,40:00.0,e37d1af8-5d47-4315-8e69-5df1cb5f28de
40:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,42:00.0,6ee75ab8-eef6-48c0-a85f-b020c4bdb1c2
42:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,43:00.0,9d778968-bf7c-4214-bc0c-b8fa5c3b4c92
43:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,00:00.0,eb42c1f2-d292-4e68-8b31-018ceef69aec
00:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,08:00.0,97360f9f-e3ab-4882-8725-0bf0c5e14b4a
08:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,30:00.0,e175c099-11d8-4919-94dc-98d416d3c42d
30:00.0,eda8504b-f934-4c6d-879d-1e309c1bf7a7,,55:59.7,55:59.7,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,47:00.0,69e30673-68ff-4def-bf78-8bfc89c8868f
40:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.5,45:29.5,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,19:00.0,37dccb67-1e7f-46d6-95fe-f3579b625767
19:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.5,45:29.5,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,22:00.0,88ff0a55-d338-47e6-bfc5-4ce3f384f958
22:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.5,45:29.5,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,29:00.0,7bad5255-b338-4f0c-b813-4f9a9bb56725
29:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.5,45:29.5,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,30:00.0,3ddccf36-b63c-4254-81f6-d8c50dbb21e6
30:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,36:00.0,5cdbe499-21a9-47bd-8b6d-da82457fbd25
36:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,38:00.0,510d0499-6776-4a73-86ed-c1c73cb3e45c
38:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,08:00.0,16afe308-dade-4378-8b2a-3f14cdf6bd69
08:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,10:00.0,c4207a24-8734-4dad-8ea6-fbbf8754681d
10:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,15:00.0,4e9e08f0-0a35-4b78-a6a7-8ca500a0fcfb
15:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,18:00.0,240fcc51-fb05-4aeb-a534-64df35045452
18:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,24:00.0,aa8f69de-85d6-4a26-b1f3-58dcea25dc34
24:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,26:00.0,9538387a-7c36-4a60-b9a5-01452f8c2e11
26:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,28:00.0,a8bb0ef2-9c48-4928-a025-7967c845c691
28:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,29:00.0,9918ffcb-374f-44fd-8036-d73337c06c6e
29:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,31:00.0,c1b77b26-98c2-43a2-881f-03d347368260
31:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,33:00.0,846bcfdc-7ec2-43ab-9fab-ede532d75ed9
33:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,37:00.0,d07658a1-6fc8-48ca-9a9c-eebf8212be63
37:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,38:00.0,bd012245-8510-4e92-bfa0-aaeb8429b8c4
38:00.0,9945d238-c013-4c95-9b60-d591550e50b4,,45:29.6,45:29.6,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,46:00.0,a97bef32-cbc7-49d2-bacb-6c1c5f2f28c5
